job_name,creation_time,distance_unit,included_speed_limits,network_name,zone_id,probe_source,map_version,date_range_id,date_range_name,date_from,date_to,time_set_id,time_set_name,time_set_days,time_set_times,segment_id,new_segment_id,street_name,frc,speed_limit,distance_m,geometry_wkt,harmonic_avg_speed,average_speed,median_speed,speed_stddev,sample_size,normalized_sample_size,average_travel_time,median_travel_time,travel_time_stddev,travel_time_ratio,p5,p10,p15,p20,p25,p30,p35,p40,p45,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,2,8:00-9:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",08:00-09:00,1285520201890398208,1285520201890398208,,4,70,54.99,"LINESTRING(77.25242 28.63506,77.25269 28.63504,77.25298 28.63501)",0.0,0.0,0.0,,0,0.0,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,3,9:00-10:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",09:00-10:00,1285520201890398208,1285520201890398208,,4,70,54.99,"LINESTRING(77.25242 28.63506,77.25269 28.63504,77.25298 28.63501)",15.4,22.0,9.9,17.1,2,0.0026,12.9,20.0,10.03,0.0,10,10,10,10,10,10,10,10,10,10,34,34,34,34,34,34,34,34,34
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,2,8:00-9:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",08:00-09:00,1285520201890398209,1285520201890398209,,4,70,54.99,"LINESTRING(77.25298 28.63501,77.25269 28.63504,77.25242 28.63506)",0.0,0.0,0.0,,0,0.0,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,3,9:00-10:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",09:00-10:00,1285520201890398209,1285520201890398209,,4,70,54.99,"LINESTRING(77.25298 28.63501,77.25269 28.63504,77.25242 28.63506)",6.4,20.5,3.5,24.0,2,0.0026,30.93,56.56,36.25,0.0,4,4,4,4,4,4,4,4,4,4,37,37,37,37,37,37,37,37,37
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,2,8:00-9:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",08:00-09:00,1285520201890627584,1285520201890627584,Noida Link Road,2,70,46.75,"LINESTRING(77.27481 28.62601,77.27502 28.62563)",35.3,37.2,37.6,6.9,100,0.13,4.77,4.48,1.53,1.0,23,29,32,34,35,35,36,36,37,38,38,38,39,40,41,43,44,45,46
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,3,9:00-10:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",09:00-10:00,1285520201890627584,1285520201890627584,Noida Link Road,2,70,46.75,"LINESTRING(77.27481 28.62601,77.27502 28.62563)",30.0,32.8,32.3,8.2,122,0.1586,5.61,5.21,2.31,1.18,17,24,26,27,28,29,30,31,32,32,34,35,36,37,38,40,42,43,45
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,2,8:00-9:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",08:00-09:00,1285520201902718976,1285520201902718976,Noida Link Road,2,50,246.0,"LINESTRING(77.27502 28.62563,77.27563 28.62472,77.27631 28.62373)",39.4,42.4,43.0,8.3,676,0.8791,22.49,20.6,11.88,1.0,29,33,35,36,37,39,40,41,42,43,44,45,46,47,48,49,50,52,54
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,3,9:00-10:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",09:00-10:00,1285520201902718976,1285520201902718976,Noida Link Road,2,50,246.0,"LINESTRING(77.27502 28.62563,77.27563 28.62472,77.27631 28.62373)",34.3,36.8,37.0,7.7,764,0.9935,25.83,23.94,11.03,1.15,25,28,29,30,32,34,35,36,36,37,38,39,40,41,42,44,44,46,49
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,2,8:00-9:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",08:00-09:00,1285520201909567488,1285520201909567488,Vikas Marg,3,60,58.8,"LINESTRING(77.24769 28.62813,77.24718 28.6281,77.24709 28.6281)",13.3,21.4,21.0,11.9,598,0.7776,15.88,10.08,14.23,1.0,5,6,7,9,12,15,17,18,20,21,22,23,25,26,28,30,35,38,45
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,3,9:00-10:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",09:00-10:00,1285520201909567488,1285520201909567488,Vikas Marg,3,60,58.8,"LINESTRING(77.24769 28.62813,77.24718 28.6281,77.24709 28.6281)",9.3,17.5,20.0,9.2,483,0.6281,22.82,10.58,26.6,1.44,2,4,5,7,10,13,16,18,19,20,21,22,22,23,24,24,25,26,28
