timestamp_ist,segment_id,lat,lon,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,confidence,road_closure
2026-01-17T03:00:54.508846+05:30,1285520202944086018,28.62822,77.26059,36,36,776,776,1,False
2026-01-17T03:01:07.509042+05:30,1285520202951688192,28.62906,77.27758,31,31,608,608,1,False
2026-01-17T03:01:30.441256+05:30,1285520203142496260,28.62955,77.26376,36,36,776,776,1,False
2026-01-17T03:02:16.070253+05:30,1285520203147509768,28.62822,77.25973,38,47,91,73,1,False
2026-01-17T03:02:20.242807+05:30,1285520203148296194,28.62403,77.24733,50,50,202,202,1,False
2026-01-17T03:02:24.898758+05:30,1285520203193122816,28.62812,77.24539,31,31,54,54,1,False
2026-01-17T03:02:29.803777+05:30,1285520203216846848,28.63087,77.25208,38,47,91,73,1,False
2026-01-17T03:03:00.012414+05:30,1285520203307319320,28.63522,77.24813,56,56,119,119,1,False
