timestamp_ist,segment_id,lat,lon,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,confidence,road_closure
2026-01-16T15:03:00.849532+05:30,1285520203148263424,28.62298,77.24762,39,50,258,202,1,False
2026-01-16T15:03:03.817465+05:30,1285520203148296194,28.62403,77.24733,39,50,258,202,1,False
2026-01-16T15:03:05.850982+05:30,1285520203148296196,28.62509,77.24704,39,50,258,202,1,False
2026-01-16T15:03:08.622650+05:30,1285520203158847488,28.63112,77.24722,43,43,46,46,1,False
2026-01-16T15:03:10.249899+05:30,1285520203193122816,28.62812,77.24539,23,30,73,56,1,False
2026-01-16T15:03:11.423127+05:30,1285520203193155584,28.62815,77.24592,23,30,73,56,1,False
2026-01-16T15:03:13.730598+05:30,1285520203216814080,28.63077,77.25208,47,47,73,73,1,False
2026-01-16T15:03:15.130361+05:30,1285520203216846848,28.63087,77.25208,47,47,73,73,1,False
2026-01-16T15:03:16.982146+05:30,1285520203264786432,28.63232,77.24672,45,45,248,248,1,False
2026-01-16T15:03:18.618994+05:30,1285520203264819202,28.63381,77.24671,45,45,248,248,1,False
2026-01-16T15:03:20.902991+05:30,1285520203277697024,28.63507,77.25037,56,56,119,119,1,False
2026-01-16T15:03:23.850275+05:30,1285520203277729792,28.63508,77.24901,56,56,119,119,1,False
2026-01-16T15:03:26.590046+05:30,1285520203277762560,28.63508,77.24887,56,56,119,119,1,False
2026-01-16T15:03:34.568123+05:30,1285520203277795328,28.63496,77.24739,56,56,119,119,1,False
2026-01-16T15:03:37.287213+05:30,1285520203277828096,28.63407,77.2473,49,49,48,48,1,False
2026-01-16T15:03:38.386391+05:30,1285520203277860864,28.63391,77.2473,49,49,48,48,1,False
2026-01-16T15:03:39.680369+05:30,1285520203277893632,28.63357,77.24729,49,49,48,48,1,False
2026-01-16T15:03:40.695500+05:30,1285520203277926400,28.63317,77.24728,49,49,48,48,1,False
2026-01-16T15:03:41.782235+05:30,1285520203277959168,28.63269,77.24727,49,49,48,48,1,False
2026-01-16T15:03:43.169513+05:30,1285520203277991936,28.63238,77.24726,49,49,48,48,1,False
2026-01-16T15:03:44.240432+05:30,1285520203307319308,28.63704,77.2568,56,56,119,119,1,False
2026-01-16T15:03:45.298278+05:30,1285520203307319310,28.63489,77.25586,56,56,119,119,1,False
2026-01-16T15:03:46.355047+05:30,1285520203307319312,28.63468,77.25493,56,56,119,119,1,False
2026-01-16T15:03:47.220309+05:30,1285520203307319314,28.63517,77.25282,56,56,119,119,1,False
2026-01-16T15:03:48.831790+05:30,1285520203307319316,28.6352,77.25165,56,56,119,119,1,False
2026-01-16T15:03:49.954805+05:30,1285520203307319318,28.6352,77.24972,56,56,119,119,1,False
2026-01-16T15:03:52.467383+05:30,1285520203307319320,28.63522,77.24813,56,56,119,119,1,False
2026-01-16T15:03:54.160900+05:30,1285520203307319322,28.63512,77.24739,56,56,119,119,1,False
2026-01-16T15:03:55.438735+05:30,1285520203308400642,28.63561,77.24705,37,37,272,272,1,False
2026-01-16T15:03:56.701710+05:30,1285520203308400644,28.63534,77.24708,37,37,272,272,1,False
2026-01-16T15:03:58.389184+05:30,1285520203329404930,28.63188,77.24688,49,49,48,48,1,False
2026-01-16T15:03:59.878194+05:30,1285520203329404932,28.63082,77.24689,49,49,48,48,1,False
2026-01-16T15:04:01.749444+05:30,1285520203329667074,28.62966,77.24727,43,43,46,46,1,False
2026-01-16T15:04:03.366002+05:30,1285520203329667076,28.62928,77.24832,43,43,46,46,1,False
2026-01-16T15:04:04.843476+05:30,1285520203329667078,28.62848,77.24886,43,43,46,46,1,False
2026-01-16T15:04:06.230968+05:30,1285520203330551808,28.63104,77.24723,43,43,46,46,1,False
2026-01-16T15:04:07.572304+05:30,1285520203330551809,28.63082,77.24689,49,49,48,48,1,False
2026-01-16T15:04:09.357937+05:30,1285520203343069184,28.63104,77.24723,43,43,46,46,1,False
2026-01-16T15:04:11.260826+05:30,1285520203344445440,28.62824,77.24708,36,36,11,11,1,False
2026-01-16T15:04:12.822901+05:30,1285520203802017792,28.62803,77.24571,30,43,21,14,1,False
2026-01-16T15:04:14.214787+05:30,1285520203802050560,28.62802,77.24547,30,43,21,14,1,False
2026-01-16T15:04:16.263234+05:30,1285520203802083328,28.62801,77.24538,30,43,21,14,1,False
2026-01-16T15:04:17.382033+05:30,1285520203806212096,28.6342,77.26999,47,47,1033,1033,1,False
2026-01-16T15:04:19.024689+05:30,1285520203806212097,28.6342,77.2701,36,36,81,81,1,False
2026-01-16T15:04:20.488909+05:30,1285520203818598402,28.62523,77.247,40,50,252,202,1,False
2026-01-16T15:04:22.172739+05:30,1285520203818598404,28.62736,77.24681,54,54,50,50,1,False
2026-01-16T15:04:23.630370+05:30,1285520203818598406,28.6284,77.24681,54,54,50,50,1,False
2026-01-16T15:04:25.060541+05:30,1285520203818598408,28.63076,77.24679,54,54,50,50,1,False
2026-01-16T15:04:27.877439+05:30,1285520203818598410,28.63077,77.24678,54,54,50,50,1,False
2026-01-16T15:04:29.133097+05:30,1285520203818762242,28.63076,77.24689,49,49,48,48,1,False
2026-01-16T15:04:30.616434+05:30,1285520203818762244,28.63075,77.24689,49,49,48,48,1,False
2026-01-16T15:04:32.123731+05:30,1285520203818958850,28.63246,77.24683,57,57,127,127,1,False
2026-01-16T15:04:33.871672+05:30,1285520203818958852,28.63267,77.24689,57,57,127,127,1,False
2026-01-16T15:04:34.986263+05:30,1285520203818958854,28.63382,77.24701,57,57,127,127,1,False
2026-01-16T15:04:36.142396+05:30,1285520203818958856,28.63514,77.24719,57,57,127,127,1,False
2026-01-16T15:04:37.233059+05:30,1285520203818958858,28.63533,77.24973,57,57,127,127,1,False
2026-01-16T15:04:38.541849+05:30,1285520203818958860,28.63533,77.25193,57,57,127,127,1,False
